Timestamp,Country,Num_Flights,Num_Covid_Cases
4/7/2021,Norway,151,933
4/7/2021,Pakistan,14,5329
4/7/2021,Panama,83,364
4/7/2021,Peru,98,8384
4/7/2021,Philippines,30,6404
4/7/2021,Poland,95,14908
4/7/2021,Portugal,95,663
4/7/2021,Qatar,368,940
4/7/2021,Romania,53,5407
4/7/2021,Russian Federation,922,8174
4/7/2021,Saudi Arabia,74,783
4/7/2021,Serbia,8,3615
4/7/2021,Seychelles,2,25
4/7/2021,Singapore,116,35
4/7/2021,South Africa,51,756
4/7/2021,Spain,280,8788
4/7/2021,Sri Lanka,17,220
4/7/2021,Suriname,3,16
4/7/2021,Sweden,163,6814
4/7/2021,Switzerland,35,2301
4/7/2021,Syrian Arab Republic,1,
4/7/2021,"Tanzania, United Republic of",6,
4/7/2021,Thailand,49,334
4/7/2021,Tunisia,17,1951
4/7/2021,Turkey,1078,54740
4/7/2021,Ukraine,45,15535
4/7/2021,United Arab Emirates,393,1883
4/7/2021,United Kingdom,133,2797
4/7/2021,United States,7904,75687
4/7/2021,Uzbekistan,32,192
4/7/2021,Vietnam,214,11
4/8/2021,Algeria,27,112
4/8/2021,Angola,2,98
4/8/2021,Antigua and Barbuda,3,3
4/8/2021,Argentina,8,23683
4/8/2021,Australia,303,5
4/8/2021,Austria,85,2906
4/8/2021,Azerbaijan,12,2717
4/8/2021,Bahrain,76,1143
4/8/2021,Bangladesh,34,6854
4/8/2021,Belarus,46,1272
4/8/2021,Belgium,142,4845
4/8/2021,Bolivia,1,1241
4/8/2021,Bosnia and Herzegovina,1,1583
4/8/2021,Brazil,314,88555
4/8/2021,Brunei Darussalam,4,
4/8/2021,Bulgaria,6,2957
4/8/2021,Canada,177,8092
4/8/2021,Cape Verde,1,
4/8/2021,Chile,24,8248
4/8/2021,China (People's Republic of),1794,31
4/8/2021,Chinese Taipei,251,0
4/8/2021,Colombia,114,12464
4/8/2021,Costa Rica,2,0
4/8/2021,Croatia,29,3217
4/8/2021,Cuba,1,914
4/8/2021,Czech Republic,6,7071
4/8/2021,Egypt,38,789
4/8/2021,El Salvador,15,0
4/8/2021,Ethiopia,55,2121
4/8/2021,Fiji,4,0
4/8/2021,Finland,67,426
4/8/2021,France,322,97033
4/8/2021,French Polynesia,6,
4/8/2021,Georgia,1,761
4/8/2021,Germany,783,26510
4/8/2021,Greece,54,3215
4/8/2021,"Hong Kong SAR, China",83,
4/8/2021,Iceland,3,5
4/8/2021,Independent State of Papua New Guinea,3,
4/8/2021,India,257,131968
4/8/2021,Indonesia,48,5504
4/8/2021,"Iran, Islamic Republic of",25,
4/8/2021,Ireland,20,398
4/8/2021,Israel,65,270
4/8/2021,Italy,166,17209
4/8/2021,Jamaica,11,204
4/8/2021,Japan,729,3496
4/8/2021,Jordan,25,4775
4/8/2021,Kazakhstan,98,2544
4/8/2021,Kenya,6,1698
4/8/2021,Korea,366,
4/8/2021,Kuwait,29,1379
4/8/2021,Latvia,29,740
4/8/2021,Lebanon,30,3510
4/8/2021,Libya,5,869
4/8/2021,Luxembourg,76,387
4/8/2021,"Macao SAR, China",23,
4/8/2021,Malaysia,54,1285
4/8/2021,Malta,4,55
4/8/2021,Mauritius,2,34
4/8/2021,Mexico,395,5140
4/8/2021,"Moldova, Republic of",4,
4/8/2021,Mongolia,1,1268
4/8/2021,Morocco,32,635
4/8/2021,Netherlands,254,8292
4/8/2021,New Caledonia,2,
4/8/2021,New Zealand,432,6
4/8/2021,Norway,139,878
4/8/2021,Oman,2,1320
4/8/2021,Pakistan,15,5312
4/8/2021,Panama,61,427
4/8/2021,Peru,103,19271
4/8/2021,Philippines,28,9202
4/8/2021,Poland,99,27890
4/8/2021,Portugal,111,602
4/8/2021,Qatar,397,949
4/8/2021,Romania,45,4989
4/8/2021,Russian Federation,997,8545
4/8/2021,Saudi Arabia,67,902
4/8/2021,Serbia,2,3625
4/8/2021,Seychelles,1,12
4/8/2021,Singapore,117,21
4/8/2021,South Africa,62,1366
4/8/2021,Spain,297,9901
4/8/2021,Sri Lanka,21,343
4/8/2021,Suriname,6,54
4/8/2021,Sweden,164,7822
4/8/2021,Switzerland,55,2449
4/8/2021,Syrian Arab Republic,3,
4/8/2021,"Tanzania, United Republic of",6,
4/8/2021,Thailand,49,405
4/8/2021,Tunisia,23,1833
4/8/2021,Turkey,1145,55941
4/8/2021,Ukraine,49,19546
4/8/2021,United Arab Emirates,392,2112
4/8/2021,United Kingdom,144,3124
4/8/2021,United States,8485,80461
4/8/2021,Uzbekistan,33,195
4/8/2021,Vietnam,222,9
4/9/2021,Algeria,29,135
4/9/2021,Angola,1,134
4/9/2021,Argentina,4,24130
4/9/2021,Australia,241,6
4/9/2021,Austria,111,2702
4/9/2021,Azerbaijan,6,2206
4/9/2021,Bahrain,58,1206
4/9/2021,Bangladesh,17,7462
4/9/2021,Belarus,68,1622
4/9/2021,Belgium,124,4860
4/9/2021,Bolivia,1,1442
4/9/2021,Bosnia and Herzegovina,1,1096
4/9/2021,Brazil,310,88110
4/9/2021,Brunei Darussalam,4,
4/9/2021,Bulgaria,15,2803
4/9/2021,Canada,182,9438
4/9/2021,Cape Verde,2,
4/9/2021,Chile,33,9151
4/9/2021,China (People's Republic of),2087,28
4/9/2021,Chinese Taipei,250,4
4/9/2021,Colombia,106,12125
4/9/2021,Costa Rica,1,2698
4/9/2021,Croatia,27,2599
4/9/2021,Cuba,2,1017
4/9/2021,Czech Republic,6,5305
4/9/2021,Egypt,60,794
4/9/2021,El Salvador,16,0
4/9/2021,Ethiopia,61,1851
4/9/2021,Fiji,2,1
